FECHA_CORTE;FECHA_MUESTRA;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;ANO;SEMANA;SUB_REG_NT;E_SALUD;DAA_C1;DAA_C1_4;DAA_C5;FECHA_ING
20240701;20240630;PIURA;SULLANA;SULLANA;200601;2024;26;31;200601A301;0;2;0;20240630
20240701;20240630;PIURA;TALARA;PARIÑAS;200701;2024;26;31;200701D201;0;0;0;20240630
20240701;20240630;PIURA;TALARA;MANCORA;200706;2024;26;31;200706A201;1;0;0;20240630
20240701;20240630;PIURA;PIURA;LA ARENA;200109;2024;26;32;200109A307;0;2;0;20240630
20240701;20240630;PIURA;PIURA;LA UNION;200110;2024;26;32;200110A304;0;0;0;20240630
20240701;20240630;PIURA;SECHURA;VICE;200805;2024;26;32;200805A303;1;2;0;20240630
20240701;20240630;PIURA;PIURA;CATACAOS;200105;2024;26;32;200105A303;0;3;0;20240629
20240701;20240630;PIURA;AYABACA;PACAIPAMPA;200206;2024;24;48;200206A301;0;1;0;20240628
20240701;20240630;PIURA;PIURA;VEINTISEIS DE OCTUBRE;200115;2024;25;32;200101A206;0;7;0;20240628
20240701;20240630;PIURA;PIURA;CASTILLA;200104;2024;25;32;200104C102;0;1;0;20240628
20240701;20240630;PIURA;SECHURA;SECHURA;200801;2024;26;32;200801A302;1;0;0;20240628
20240701;20240630;PIURA;LOS ORGANOS;TALARA;200705;2024;25;31;200705C101;0;0;0;20240626
20240701;20240630;PIURA;SECHURA;SECHURA;200801;2024;25;32;200801C301;1;0;0;20240626
20240701;20240630;PIURA;TALARA;LOS ORGANOS;200705;2024;25;31;200705C101;0;0;0;20240626
20240701;20240630;PIURA;SECHURA;SECHURA;200801;2024;25;32;200801C301;1;0;0;20240626
20240701;20240630;PIURA;HUANCABAMBA;HUANCABAMBA;200301;2024;23;48;200301C301;0;1;0;20240625
20240701;20240630;PIURA;HUANCABAMBA;HUANCABAMBA;200301;2024;24;48;200301C301;0;0;0;20240625
20240701;20240630;PIURA;SULLANA;SULLANA;200601;2024;25;31;200601D202;0;0;0;20240625
20240701;20240630;PIURA;SULLANA;SULLANA;200601;2024;25;31;200601X402;0;1;0;20240625
20240701;20240630;PIURA;SULLANA;SULLANA;200601;2024;25;31;200601A306;0;1;0;20240625
20240701;20240630;PIURA;SULLANA;SULLANA;200601;2024;25;31;200601C101;8;17;0;20240625
20240701;20240630;PIURA;MARCAVELICA;SULLANA;200605;2024;25;31;200605A201;0;1;0;20240625
20240701;20240630;PIURA;MARCAVELICA;SULLANA;200605;2024;25;31;200605A301;0;0;0;20240625
20240701;20240630;PIURA;MARCAVELICA;SULLANA;200605;2024;25;31;200605A302;0;0;0;20240625
20240701;20240630;PIURA;MARCAVELICA;SULLANA;200605;2024;25;31;200605A304;0;1;0;20240625
20240701;20240630;PIURA;MARCAVELICA;SULLANA;200605;2024;25;31;200605A309;1;1;0;20240625
20240701;20240630;PIURA;LANCONES;SULLANA;200604;2024;25;31;200604A201;0;0;0;20240625
20240701;20240630;PIURA;LANCONES;SULLANA;200604;2024;25;31;200604A301;0;0;0;20240625
20240701;20240630;PIURA;LANCONES;SULLANA;200604;2024;25;31;200604A303;0;0;0;20240625
20240701;20240630;PIURA;LANCONES;SULLANA;200604;2024;25;31;200604A314;0;0;0;20240625
20240701;20240630;PIURA;PARIÑAS;TALARA;200701;2024;25;31;200701A201;0;0;0;20240625
20240701;20240630;PIURA;PARIÑAS;TALARA;200701;2024;25;31;200701C101;0;7;0;20240625
20240701;20240630;PIURA;EL ALTO;TALARA;200702;2024;25;31;200702A201;2;2;0;20240625
20240701;20240630;PIURA;EL ALTO;TALARA;200702;2024;25;31;200702A301;0;0;0;20240625
20240701;20240630;PIURA;EL ALTO;TALARA;200702;2024;25;31;200702C101;0;2;0;20240625
20240701;20240630;PIURA;LAS LOMAS;PIURA;200111;2024;25;31;200111A301;0;1;0;20240625
20240701;20240630;PIURA;LAS LOMAS;PIURA;200111;2024;25;31;200111A302;0;2;0;20240625
20240701;20240630;PIURA;LAS LOMAS;PIURA;200111;2024;25;31;200111A309;0;3;0;20240625
20240701;20240630;PIURA;LAS LOMAS;PIURA;200111;2024;25;31;200111A312;0;0;0;20240625
20240701;20240630;PIURA;LAS LOMAS;PIURA;200111;2024;25;31;200111A313;0;1;0;20240625
20240701;20240630;PIURA;LAS LOMAS;PIURA;200111;2024;25;31;200111A314;0;4;0;20240625
20240701;20240630;PIURA;SAPILLICA;AYABACA;200208;2024;25;31;200208A201;0;1;0;20240625
20240701;20240630;PIURA;SAPILLICA;AYABACA;200208;2024;25;31;200208A302;0;1;0;20240625
20240701;20240630;PIURA;LAGUNAS;AYABACA;200204;2024;25;31;200204A201;0;3;0;20240625
20240701;20240630;PIURA;LAGUNAS;AYABACA;200204;2024;25;31;200204A301;1;0;0;20240625
20240701;20240630;PIURA;LAGUNAS;AYABACA;200204;2024;25;31;200204A302;0;2;0;20240625
20240701;20240630;PIURA;LAGUNAS;AYABACA;200204;2024;25;31;200204A304;0;0;0;20240625
20240701;20240630;PIURA;MONTERO;AYABACA;200205;2024;25;31;200205A201;0;2;0;20240625
20240701;20240630;PIURA;VEINTISEIS DE OCTUBRE;PIURA;200115;2024;25;32;200101A301;0;5;0;20240625
20240701;20240630;PIURA;CURA MORI;PIURA;200107;2024;25;32;200107A201;0;2;0;20240625
20240701;20240630;PIURA;LA ARENA;PIURA;200109;2024;25;32;200109A302;2;0;0;20240625
20240701;20240630;PIURA;LA ARENA;PIURA;200109;2024;25;32;200109A302;1;1;0;20240625
20240701;20240630;PIURA;VICE;SECHURA;200805;2024;25;32;200805A201;1;0;0;20240625
20240701;20240630;PIURA;VICE;SECHURA;200805;2024;25;32;200805A303;1;7;0;20240625
20240701;20240630;PIURA;CASTILLA;PIURA;200104;2024;25;32;200104C201;0;5;0;20240625
20240701;20240630;PIURA;HUANCABAMBA;HUANCABAMBA;200301;2024;25;48;200301C301;0;2;0;20240625
